hdi rank,country,hdi,life,expected_education,mean_education,gni,gni_rank_minus_hdi_rank,continent,Country Name,population
1,Norway,0.944,81.6,17.5,12.6,64992,5,Europe,Norway,5188607
2,Australia,0.935,82.4,20.2,13,42261,17,Oceania,Australia,23815995
3,Switzerland,0.93,83,15.8,12.8,56431,6,Europe,Switzerland,8282396
4,Denmark,0.923,80.2,18.7,12.7,44025,11,Europe,Denmark,5683483
5,Netherlands,0.922,81.6,17.9,11.9,45435,9,Europe,Netherlands,16939923
6,Germany,0.916,80.9,16.5,13.1,43919,11,Europe,Germany,81686611
6,Ireland,0.916,80.9,18.6,12.2,39568,16,Europe,Ireland,4701957
8,United States,0.915,79.1,16.5,12.9,52947,3,Europe,United States,320742673
9,Canada,0.913,82,15.9,13,42155,11,Americas,Canada,35832513
9,New Zealand,0.913,81.8,19.2,12.5,32689,23,Oceania,New Zealand,4595700
11,Singapore,0.912,83,15.4,10.6,76628,-7,Asia,Singapore,5535002
13,Liechtenstein,0.908,80,15,11.8,79851,-10,Europe,Liechtenstein,37403
14,Sweden,0.907,82.2,15.8,12.1,45636,-1,Europe,Sweden,9799186
14,United Kingdom,0.907,80.7,16.2,13.1,39267,9,Europe,United Kingdom,65128861
16,Iceland,0.899,82.6,19,10.6,35182,12,Europe,Iceland,330815
17,Korea,0.898,81.9,16.9,11.9,33890,13,Asia,Asia,51014947
18,Israel,0.894,82.4,16,12.5,30676,16,Asia,Israel,8380100
19,Luxembourg,0.892,81.7,13.9,11.7,58711,-11,Europe,Luxembourg,569604
20,Japan,0.891,83.5,15.3,11.5,36927,7,Asia,Japan,127141000
21,Belgium,0.89,80.8,16.3,11.3,41187,0,Europe,Belgium,11274196
22,France,0.888,82.2,16,11.1,38056,4,Europe,France,66593366
23,Austria,0.885,81.4,15.7,10.8,43869,-5,Europe,Austria,8642699
24,Finland,0.883,80.8,17.1,10.3,38695,0,Europe,Finland,5479531
25,Slovenia,0.88,80.4,16.8,11.9,27852,12,Europe,Slovenia,2063531
26,Spain,0.876,82.6,17.3,9.6,32045,7,Europe,Spain,46444832
27,Italy,0.873,83.1,16,10.1,33030,4,Europe,Italy,60730582
28,Czech Republic,0.87,78.6,16.4,12.3,26660,10,Europe,Czech Republic,10546059
29,Greece,0.865,80.9,17.6,10.3,24524,14,Europe,Greece,10820883
30,Estonia,0.861,76.8,16.5,12.5,25214,12,Europe,Estonia,1315407
31,Brunei Darussalam,0.856,78.8,14.5,8.8,72570,-26,Asia,Brunei Darussalam,417542
32,Cyprus,0.85,80.2,14,11.6,28633,3,Asia,Cyprus,1160985
32,Qatar,0.85,78.2,13.8,9.1,123124,-31,Asia,Qatar,2481539
34,Andorra,0.845,81.3,13.5,9.6,43978,-18,Europe,Andorra,78014
36,Poland,0.843,77.4,15.5,11.8,23177,10,Europe,Poland,37986412
37,Lithuania,0.839,73.3,16.4,12.4,24500,7,Europe,Lithuania,2904910
37,Malta,0.839,80.6,14.4,10.3,27930,-1,Europe,Malta,445053
39,Saudi Arabia,0.837,74.3,16.3,8.7,52821,-27,Asia,Saudi Arabia,31557144
40,Argentina,0.836,76.3,17.9,9.8,22050,11,Americas,Argentina,43417765
41,United Arab Emirates,0.835,77,13.3,9.5,60868,-34,Asia,United Arab Emirates,9154302
